Energy_GeV,g1,g2,g3
6406544.645888786,1.3066666666666666 - 0.0j,0.18666666666666668 - 0.0j,0.02666666666666667 - 0.0j
7908075.405097001,1.3128301886792453 - 0.0j,0.18754716981132075 - 0.0j,0.02679245283018868 - 0.0j
9761526.699549627,1.318993710691824 - 0.0j,0.18842767295597485 - 0.0j,0.026918238993710694 - 0.0j
12049379.732090633,1.3251572327044026 - 0.0j,0.18930817610062894 - 0.0j,0.027044025157232705 - 0.0j
14873447.19702658,1.3313207547169812 - 0.0j,0.19018867924528302 - 0.0j,0.027169811320754716 - 0.0j
18359404.088956792,1.3374842767295596 - 0.0j,0.1910691823899371 - 0.0j,0.027295597484276728 - 0.0j
22662380.41770094,1.3436477987421382 - 0.0j,0.19194968553459119 - 0.0j,0.027421383647798742 - 0.0j
27973864.71304453,1.3498113207547169 - 0.0j,0.19283018867924528 - 0.0j,0.027547169811320757 - 0.0j
34530225.5350237,1.3559748427672957 - 0.0j,0.19371069182389938 - 0.0j,0.027672955974842768 - 0.0j
42623230.209003,1.3621383647798742 - 0.0j,0.19459119496855345 - 0.0j,0.02779874213836478 - 0.0j
52613028.88412828,1.3683018867924528 - 0.0j,0.19547169811320755 - 0.0j,0.027924528301886794 - 0.0j
64944181.7241112,1.3744654088050317 - 0.0j,0.19635220125786165 - 0.0j,0.02805031446540881 - 0.0j
80165442.46299309,1.38062893081761 - 0.0j,0.19723270440251572 - 0.0j,0.02817610062893082 - 0.0j
98954178.7220879,1.3867924528301887 - 0.0j,0.19811320754716982 - 0.0j,0.02830188679245283 - 0.0j
122146515.82673147,1.3929559748427673 - 0.0j,0.1989937106918239 - 0.0j,0.028427672955974842 - 0.0j
150774545.56529674,1.399119496855346 - 0.0j,0.199874213836478 - 0.0j,0.028553459119496857 - 0.0j
186112255.73285398,1.4052830188679246 - 0.0j,0.2007547169811321 - 0.0j,0.02867924528301887 - 0.0j
229732224.38909936,1.4114465408805033 - 0.0j,0.20163522012578616 - 0.0j,0.028805031446540882 - 0.0j
283575601.80517936,1.417610062893082 - 0.0j,0.20251572327044026 - 0.0j,0.028930817610062894 - 0.0j
350038494.39497817,1.4237735849056603 - 0.0j,0.20339622641509433 - 0.0j,0.029056603773584905 - 0.0j
432078594.83793324,1.429937106918239 - 0.0j,0.2042767295597484 - 0.0j,0.029182389937106916 - 0.0j
533346803.5845867,1.4361006289308176 - 0.0j,0.2051572327044025 - 0.0j,0.02930817610062893 - 0.0j
658349699.0879455,1.4422641509433962 - 0.0j,0.2060377358490566 - 0.0j,0.029433962264150945 - 0.0j
812650086.915631,1.4484276729559749 - 0.0j,0.2069182389937107 - 0.0j,0.029559748427672956 - 0.0j
1003114552.4618267,1.4545911949685535 - 0.0j,0.20779874213836477 - 0.0j,0.029685534591194968 - 0.0j
1238219033.7046726,1.460754716981132 - 0.0j,0.20867924528301884 - 0.0j,0.02981132075471698 - 0.0j
1528426012.4288032,1.4669182389937105 - 0.0j,0.20955974842767294 - 0.0j,0.029937106918238993 - 0.0j
1886650109.4556754,1.4730817610062892 - 0.0j,0.21044025157232704 - 0.0j,0.030062893081761008 - 0.0j
2328832803.5276117,1.479245283018868 - 0.0j,0.21132075471698114 - 0.0j,0.03018867924528302 - 0.0j
2874651849.6484857,1.4854088050314465 - 0.0j,0.2122012578616352 - 0.0j,0.03031446540880503 - 0.0j
3548396966.999989,1.491572327044025 - 0.0j,0.2130817610062893 - 0.0j,0.030440251572327045 - 0.0j
4380050765.78382,1.497735849056604 - 0.0j,0.2139622641509434 - 0.0j,0.03056603773584906 - 0.0j
5406623015.7623415,1.5038993710691824 - 0.0j,0.21484276729559748 - 0.0j,0.03069182389937107 - 0.0j
6673797633.334055,1.510062893081761 - 0.0j,0.21572327044025158 - 0.0j,0.030817610062893082 - 0.0j
8237965680.3970995,1.5162264150943396 - 0.0j,0.21660377358490565 - 0.0j,0.030943396226415093 - 0.0j
10168734846.32427,1.5223899371069183 - 0.0j,0.21748427672955975 - 0.0j,0.031069182389937108 - 0.0j
12552027088.545128,1.528553459119497 - 0.0j,0.21836477987421385 - 0.0j,0.031194968553459122 - 0.0j
15493902281.120256,1.5347169811320756 - 0.0j,0.21924528301886792 - 0.0j,0.03132075471698113 - 0.0j
19125278029.07477,1.5408805031446542 - 0.0j,0.22012578616352202 - 0.0j,0.031446540880503145 - 0.0j
23607755686.90133,1.5470440251572326 - 0.0j,0.2210062893081761 - 0.0j,0.031572327044025156 - 0.0j
29140811847.29234,1.5532075471698115 - 0.0j,0.22188679245283022 - 0.0j,0.031698113207547174 - 0.0j
35970675331.51665,1.55937106918239 - 0.0j,0.2227672955974843 - 0.0j,0.031823899371069185 - 0.0j
44401284720.06191,1.5655345911949685 - 0.0j,0.22364779874213836 - 0.0j,0.031949685534591196 - 0.0j
54807814049.146996,1.5716981132075472 - 0.0j,0.22452830188679246 - 0.0j,0.03207547169811321 - 0.0j
67653368585.720924,1.5778616352201258 - 0.0j,0.22540880503144653 - 0.0j,0.03220125786163522 - 0.0j
83509593666.53716,1.5840251572327047 - 0.0j,0.22628930817610066 - 0.0j,0.03232704402515724 - 0.0j
103082113723.78079,1.590188679245283 - 0.0j,0.22716981132075473 - 0.0j,0.03245283018867925 - 0.0j
127241933569.84746,1.5963522012578615 - 0.0j,0.2280503144654088 - 0.0j,0.03257861635220126 - 0.0j
157064199342.84256,1.6025157232704408 - 0.0j,0.22893081761006295 - 0.0j,0.03270440251572328 - 0.0j
193876044029.67078,1.6086792452830188 - 0.0j,0.22981132075471697 - 0.0j,0.03283018867924528 - 0.0j
239315646760.1331,1.6148427672955976 - 0.0j,0.2306918238993711 - 0.0j,0.0329559748427673 - 0.0j
295405134094.1117,1.6210062893081763 - 0.0j,0.23157232704402517 - 0.0j,0.03308176100628931 - 0.0j
364640567512.1832,1.6271698113207547 - 0.0j,0.23245283018867924 - 0.0j,0.03320754716981132 - 0.0j
450103021680.2092,1.6333333333333337 - 0.0j,0.2333333333333334 - 0.0j,0.03333333333333334 - 0.0j
555595696627.7098,1.639496855345912 - 0.0j,0.2342138364779874 - 0.0j,0.033459119496855344 - 0.0j
685813165525.7958,1.6456603773584908 - 0.0j,0.23509433962264153 - 0.0j,0.03358490566037736 - 0.0j
846550289830.0432,1.6518238993710692 - 0.0j,0.2359748427672956 - 0.0j,0.03371069182389937 - 0.0j
1044960098807.515,1.6579874213836479 - 0.0j,0.23685534591194968 - 0.0j,0.033836477987421384 - 0.0j
1289872109451.447,1.6641509433962267 - 0.0j,0.23773584905660383 - 0.0j,0.0339622641509434 - 0.0j
1592185252469.8142,1.670314465408805 - 0.0j,0.23861635220125785 - 0.0j,0.03408805031446541 - 0.0j
1965352890109.7542,1.6764779874213838 - 0.0j,0.23949685534591197 - 0.0j,0.034213836477987425 - 0.0j
2425981509796.7017,1.6826415094339624 - 0.0j,0.24037735849056605 - 0.0j,0.034339622641509436 - 0.0j
2994569736301.565,1.6888050314465408 - 0.0j,0.24125786163522012 - 0.0j,0.03446540880503145 - 0.0j
3696420549522.119,1.6949685534591195 - 0.0j,0.24213836477987422 - 0.0j,0.03459119496855346 - 0.0j
4562767302859.51,1.701132075471698 - 0.0j,0.2430188679245283 - 0.0j,0.03471698113207547 - 0.0j
5632163651599.501,1.707295597484277 - 0.0j,0.2438993710691824 - 0.0j,0.03484276729559749 - 0.0j
6952199245076.252,1.7134591194968554 - 0.0j,0.24477987421383648 - 0.0j,0.0349685534591195 - 0.0j
8581617533345.734,1.7196226415094338 - 0.0j,0.24566037735849056 - 0.0j,0.03509433962264151 - 0.0j
10592929933759.283,1.725786163522013 - 0.0j,0.2465408805031447 - 0.0j,0.03522012578616353 - 0.0j
13075642691545.8,1.731949685534591 - 0.0j,0.24742138364779873 - 0.0j,0.03534591194968553 - 0.0j
16140240034260.227,1.73811320754717 - 0.0j,0.24830188679245285 - 0.0j,0.03547169811320755 - 0.0j
19923100876102.285,1.7442767295597486 - 0.0j,0.24918238993710692 - 0.0j,0.03559748427672956 - 0.0j
24592567872398.47,1.750440251572327 - 0.0j,0.250062893081761 - 0.0j,0.03572327044025157 - 0.0j
30356438905751.605,1.756603773584906 - 0.0j,0.25094339622641515 - 0.0j,0.03584905660377359 - 0.0j
37471214385582.43,1.7627672955974845 - 0.0j,0.2518238993710692 - 0.0j,0.035974842767295595 - 0.0j
46253511878965.74,1.768930817610063 - 0.0j,0.2527044025157233 - 0.0j,0.03610062893081761 - 0.0j
57094156039970.35,1.7750943396226417 - 0.0j,0.2535849056603774 - 0.0j,0.036226415094339624 - 0.0j
70475570859277.48,1.7812578616352202 - 0.0j,0.25446540880503143 - 0.0j,0.036352201257861635 - 0.0j
86993248213773.23,1.787421383647799 - 0.0j,0.2553459119496856 - 0.0j,0.036477987421383654 - 0.0j
107382248096922.28,1.7935849056603774 - 0.0j,0.25622641509433963 - 0.0j,0.03660377358490566 - 0.0j
132549909827637.94,1.799748427672956 - 0.0j,0.25710691823899373 - 0.0j,0.036729559748427676 - 0.0j
163616229932687.7,1.8059119496855347 - 0.0j,0.25798742138364783 - 0.0j,0.03685534591194969 - 0.0j
201963703575483.4,1.8120754716981131 - 0.0j,0.2588679245283019 - 0.0j,0.0369811320754717 - 0.0j
249298847545299.22,1.8182389937106922 - 0.0j,0.25974842767295603 - 0.0j,0.037106918238993716 - 0.0j
307728142666912.3,1.8244025157232704 - 0.0j,0.26062893081761007 - 0.0j,0.03723270440251572 - 0.0j
379851775175256.44,1.8305660377358492 - 0.0j,0.26150943396226417 - 0.0j,0.03735849056603774 - 0.0j
468879348678785.3,1.8367295597484279 - 0.0j,0.26238993710691827 - 0.0j,0.03748427672955976 - 0.0j
578772716057486.9,1.842893081761006 - 0.0j,0.2632704402515723 - 0.0j,0.03761006289308176 - 0.0j
714422287516960.4,1.8490566037735854 - 0.0j,0.26415094339622647 - 0.0j,0.03773584905660378 - 0.0j
881864660756176.4,1.8552201257861636 - 0.0j,0.2650314465408805 - 0.0j,0.03786163522012579 - 0.0j
1088551258099074.6,1.8613836477987422 - 0.0j,0.2659119496855346 - 0.0j,0.0379874213836478 - 0.0j
1343679925322122.8,1.867547169811321 - 0.0j,0.2667924528301887 - 0.0j,0.03811320754716982 - 0.0j
1658604248794446.5,1.8737106918238993 - 0.0j,0.26767295597484275 - 0.0j,0.038238993710691824 - 0.0j
2047338806121923.5,1.8798742138364783 - 0.0j,0.2685534591194969 - 0.0j,0.03836477987421384 - 0.0j
2527182834663179.5,1.8860377358490568 - 0.0j,0.26943396226415095 - 0.0j,0.038490566037735846 - 0.0j
3119490072048136.5,1.8922012578616354 - 0.0j,0.27031446540880505 - 0.0j,0.038616352201257864 - 0.0j
3850619027690512.5,1.898364779874214 - 0.0j,0.27119496855345915 - 0.0j,0.038742138364779875 - 0.0j
4753105973720000.0,1.9045283018867925 - 0.0j,0.2720754716981132 - 0.0j,0.038867924528301886 - 0.0j
5867112855088853.0,1.9106918238993713 - 0.0j,0.27295597484276735 - 0.0j,0.038993710691823905 - 0.0j
7242214552899572.0,1.9168553459119497 - 0.0j,0.2738364779874214 - 0.0j,0.03911949685534591 - 0.0j
8939605036698418.0,1.9230188679245284 - 0.0j,0.2747169811320755 - 0.0j,0.03924528301886793 - 0.0j
1.1034820582630646e+16,1.9291823899371068 - 0.0j,0.27559748427672953 - 0.0j,0.03937106918238993 - 0.0j
1.362110124451551e+16,1.9353459119496854 - 0.0j,0.27647798742138363 - 0.0j,0.03949685534591195 - 0.0j
1.6813540168055002e+16,1.941509433962264 - 0.0j,0.27735849056603773 - 0.0j,0.03962264150943396 - 0.0j
2.075420539852661e+16,1.9476729559748427 - 0.0j,0.27823899371069183 - 0.0j,0.03974842767295597 - 0.0j
2.561846210964002e+16,1.9538364779874215 - 0.0j,0.2791194968553459 - 0.0j,0.03987421383647799 - 0.0j
